Source,Target,Type,Id,Label,timeset,Weight,mmnt-edgetype
T1548.002,T1132.001,Undirected,2967,technique-technique,,3,technique<--->technique
T1548.002,T1001.002,Undirected,2968,technique-technique,,1,technique<--->technique
T1548.002,T1074.001,Undirected,2969,technique-technique,,3,technique<--->technique
T1548.002,T1074.002,Undirected,2970,technique-technique,,2,technique<--->technique
T1548.002,T1030,Undirected,2971,technique-technique,,1,technique<--->technique
T1548.002,T1213,Undirected,2972,technique-technique,,1,technique<--->technique
T1548.002,T1213.003,Undirected,2973,technique-technique,,1,technique<--->technique
T1548.002,T1005,Undirected,2974,technique-technique,,6,technique<--->technique
T1548.002,T1039,Undirected,2975,technique-technique,,1,technique<--->technique
T1548.002,T1140,Undirected,2976,technique-technique,,5,technique<--->technique
T1548.002,T1587.002,Undirected,2977,technique-technique,,1,technique<--->technique
T1548.002,T1587.003,Undirected,2978,technique-technique,,1,technique<--->technique
T1548.002,T1587.001,Undirected,2979,technique-technique,,1,technique<--->technique
T1548.002,T1561.002,Undirected,2980,technique-technique,,1,technique<--->technique
T1548.002,T1484.002,Undirected,2981,technique-technique,,1,technique<--->technique
T1548.002,T1482,Undirected,2982,technique-technique,,1,technique<--->technique
T1548.002,T1189,Undirected,2983,technique-technique,,4,technique<--->technique
T1548.002,T1568,Undirected,2984,technique-technique,,1,technique<--->technique
T1548.002,T1114.002,Undirected,2985,technique-technique,,1,technique<--->technique
T1548.002,T1573,Undirected,2986,technique-technique,,1,technique<--->technique
T1548.002,T1573.002,Undirected,2987,technique-technique,,1,technique<--->technique
T1548.002,T1573.001,Undirected,2988,technique-technique,,1,technique<--->technique
T1548.002,T1546.008,Undirected,2989,technique-technique,,1,technique<--->technique
T1548.002,T1546.009,Undirected,2990,technique-technique,,1,technique<--->technique
T1548.002,T1546.003,Undirected,2991,technique-technique,,1,technique<--->technique
T1548.002,T1048.002,Undirected,2992,technique-technique,,1,technique<--->technique
T1548.002,T1041,Undirected,2993,technique-technique,,1,technique<--->technique
T1548.002,T1567.002,Undirected,2994,technique-technique,,1,technique<--->technique
T1548.002,T1190,Undirected,2995,technique-technique,,2,technique<--->technique
T1548.002,T1203,Undirected,2996,technique-technique,,7,technique<--->technique
T1548.002,T1068,Undirected,2997,technique-technique,,3,technique<--->technique
T1548.002,T1210,Undirected,2998,technique-technique,,1,technique<--->technique
T1548.002,T1133,Undirected,2999,technique-technique,,2,technique<--->technique
T1548.002,T1083,Undirected,3000,technique-technique,,5,technique<--->technique
T1548.002,T1606.002,Undirected,3001,technique-technique,,1,technique<--->technique
T1548.002,T1606.001,Undirected,3002,technique-technique,,1,technique<--->technique
T1548.002,T1589.001,Undirected,3003,technique-technique,,1,technique<--->technique
T1548.002,T1589.002,Undirected,3004,technique-technique,,1,technique<--->technique
T1548.002,T1574.001,Undirected,3005,technique-technique,,2,technique<--->technique
T1548.002,T1574.002,Undirected,3006,technique-technique,,3,technique<--->technique
T1548.002,T1562.002,Undirected,3007,technique-technique,,2,technique<--->technique
T1548.002,T1562.004,Undirected,3008,technique-technique,,1,technique<--->technique
T1548.002,T1562.001,Undirected,3009,technique-technique,,3,technique<--->technique
T1548.002,T1070,Undirected,3010,technique-technique,,1,technique<--->technique
T1548.002,T1070.004,Undirected,3011,technique-technique,,7,technique<--->technique
T1548.002,T1070.005,Undirected,3012,technique-technique,,1,technique<--->technique
T1548.002,T1070.006,Undirected,3013,technique-technique,,1,technique<--->technique
T1548.002,T1105,Undirected,3014,technique-technique,,8,technique<--->technique
T1548.002,T1056.001,Undirected,3015,technique-technique,,1,technique<--->technique
T1548.002,T1559.001,Undirected,3016,technique-technique,,1,technique<--->technique
T1548.002,T1559.002,Undirected,3017,technique-technique,,4,technique<--->technique
T1548.002,T1036,Undirected,3018,technique-technique,,2,technique<--->technique
T1548.002,T1036.001,Undirected,3019,technique-technique,,1,technique<--->technique
T1548.002,T1036.004,Undirected,3020,technique-technique,,1,technique<--->technique
T1548.002,T1036.005,Undirected,3021,technique-technique,,4,technique<--->technique
T1548.002,T1036.002,Undirected,3022,technique-technique,,1,technique<--->technique
T1548.002,T1112,Undirected,3023,technique-technique,,3,technique<--->technique
T1548.002,T1621,Undirected,3024,technique-technique,,1,technique<--->technique
T1548.002,T1104,Undirected,3025,technique-technique,,1,technique<--->technique
T1548.002,T1106,Undirected,3026,technique-technique,,1,technique<--->technique
T1548.002,T1046,Undirected,3027,technique-technique,,2,technique<--->technique
T1548.002,T1095,Undirected,3028,technique-technique,,1,technique<--->technique
T1548.002,T1003.005,Undirected,3029,technique-technique,,1,technique<--->technique
T1548.002,T1003.006,Undirected,3030,technique-technique,,1,technique<--->technique
T1548.002,T1003.004,Undirected,3031,technique-technique,,2,technique<--->technique
T1548.002,T1003.001,Undirected,3032,technique-technique,,3,technique<--->technique
T1548.002,T1003.002,Undirected,3033,technique-technique,,1,technique<--->technique
T1548.002,T1027,Undirected,3034,technique-technique,,7,technique<--->technique
T1548.002,T1027.001,Undirected,3035,technique-technique,,3,technique<--->technique
T1548.002,T1027.004,Undirected,3036,technique-technique,,1,technique<--->technique
T1548.002,T1027.006,Undirected,3037,technique-technique,,1,technique<--->technique
T1548.002,T1027.005,Undirected,3038,technique-technique,,1,technique<--->technique
T1548.002,T1027.002,Undirected,3039,technique-technique,,3,technique<--->technique
T1548.002,T1027.003,Undirected,3040,technique-technique,,3,technique<--->technique
T1548.002,T1588.002,Undirected,3041,technique-technique,,6,technique<--->technique
T1548.002,T1137.001,Undirected,3042,technique-technique,,1,technique<--->technique
T1548.002,T1120,Undirected,3043,technique-technique,,1,technique<--->technique
T1548.002,T1069,Undirected,3044,technique-technique,,1,technique<--->technique
T1548.002,T1069.002,Undirected,3045,technique-technique,,1,technique<--->technique
T1548.002,T1566.001,Undirected,3046,technique-technique,,7,technique<--->technique
T1548.002,T1566.002,Undirected,3047,technique-technique,,5,technique<--->technique
T1548.002,T1566.003,Undirected,3048,technique-technique,,1,technique<--->technique
T1548.002,T1057,Undirected,3049,technique-technique,,4,technique<--->technique
T1548.002,T1055,Undirected,3050,technique-technique,,3,technique<--->technique
T1548.002,T1055.012,Undirected,3051,technique-technique,,2,technique<--->technique
T1548.002,T1572,Undirected,3052,technique-technique,,1,technique<--->technique
T1548.002,T1090.004,Undirected,3053,technique-technique,,1,technique<--->technique
T1548.002,T1090.002,Undirected,3054,technique-technique,,1,technique<--->technique
T1548.002,T1090.001,Undirected,3055,technique-technique,,1,technique<--->technique
T1548.002,T1090.003,Undirected,3056,technique-technique,,1,technique<--->technique
T1548.002,T1012,Undirected,3057,technique-technique,,1,technique<--->technique
T1548.002,T1219,Undirected,3058,technique-technique,,3,technique<--->technique
T1548.002,T1021.001,Undirected,3059,technique-technique,,3,technique<--->technique
T1548.002,T1021.002,Undirected,3060,technique-technique,,1,technique<--->technique
T1548.002,T1021.006,Undirected,3061,technique-technique,,2,technique<--->technique
T1548.002,T1018,Undirected,3062,technique-technique,,3,technique<--->technique
T1548.002,T1053.002,Undirected,3063,technique-technique,,2,technique<--->technique
T1548.002,T1053.005,Undirected,3064,technique-technique,,6,technique<--->technique
T1548.002,T1113,Undirected,3065,technique-technique,,2,technique<--->technique
T1548.002,T1505.003,Undirected,3066,technique-technique,,2,technique<--->technique
T1548.002,T1518,Undirected,3067,technique-technique,,2,technique<--->technique
T1548.002,T1518.001,Undirected,3068,technique-technique,,3,technique<--->technique
T1548.002,T1608.004,Undirected,3069,technique-technique,,1,technique<--->technique
T1548.002,T1608.001,Undirected,3070,technique-technique,,1,technique<--->technique
T1548.002,T1608.002,Undirected,3071,technique-technique,,1,technique<--->technique
T1548.002,T1539,Undirected,3072,technique-technique,,2,technique<--->technique
T1548.002,T1558.003,Undirected,3073,technique-technique,,1,technique<--->technique
T1548.002,T1553.002,Undirected,3074,technique-technique,,3,technique<--->technique
T1548.002,T1553.005,Undirected,3075,technique-technique,,1,technique<--->technique
T1548.002,T1195.002,Undirected,3076,technique-technique,,3,technique<--->technique
T1548.002,T1218.003,Undirected,3077,technique-technique,,2,technique<--->technique
T1548.002,T1218.005,Undirected,3078,technique-technique,,2,technique<--->technique
T1548.002,T1218.008,Undirected,3079,technique-technique,,1,technique<--->technique
T1548.002,T1218.010,Undirected,3080,technique-technique,,1,technique<--->technique
T1548.002,T1218.011,Undirected,3081,technique-technique,,2,technique<--->technique
T1548.002,T1082,Undirected,3082,technique-technique,,5,technique<--->technique
T1548.002,T1016,Undirected,3083,technique-technique,,2,technique<--->technique
T1548.002,T1016.001,Undirected,3084,technique-technique,,1,technique<--->technique
T1548.002,T1049,Undirected,3085,technique-technique,,2,technique<--->technique
T1548.002,T1033,Undirected,3086,technique-technique,,4,technique<--->technique
T1548.002,T1007,Undirected,3087,technique-technique,,1,technique<--->technique
T1548.002,T1569.002,Undirected,3088,technique-technique,,1,technique<--->technique
T1548.002,T1529,Undirected,3089,technique-technique,,1,technique<--->technique
T1548.002,T1124,Undirected,3090,technique-technique,,1,technique<--->technique
T1548.002,T1080,Undirected,3091,technique-technique,,1,technique<--->technique
T1548.002,T1199,Undirected,3092,technique-technique,,2,technique<--->technique
T1548.002,T1552.001,Undirected,3093,technique-technique,,1,technique<--->technique
T1548.002,T1552.004,Undirected,3094,technique-technique,,1,technique<--->technique
T1548.002,T1550,Undirected,3095,technique-technique,,1,technique<--->technique
T1548.002,T1550.001,Undirected,3096,technique-technique,,1,technique<--->technique
T1548.002,T1550.003,Undirected,3097,technique-technique,,2,technique<--->technique
T1548.002,T1550.004,Undirected,3098,technique-technique,,1,technique<--->technique
T1548.002,T1204.002,Undirected,3099,technique-technique,,7,technique<--->technique
T1548.002,T1204.001,Undirected,3100,technique-technique,,5,technique<--->technique
T1548.002,T1078,Undirected,3101,technique-technique,,2,technique<--->technique
T1548.002,T1078.004,Undirected,3102,technique-technique,,1,technique<--->technique
T1548.002,T1078.002,Undirected,3103,technique-technique,,1,technique<--->technique
T1548.002,T1078.003,Undirected,3104,technique-technique,,1,technique<--->technique
T1548.002,T1497.001,Undirected,3105,technique-technique,,1,technique<--->technique
T1548.002,T1102.002,Undirected,3106,technique-technique,,3,technique<--->technique
T1548.002,T1102.001,Undirected,3107,technique-technique,,2,technique<--->technique
T1548.002,T1047,Undirected,3108,technique-technique,,3,technique<--->technique
T1548.002,T1220,Undirected,3109,technique-technique,,1,technique<--->technique
T1134,T1087.002,Undirected,3110,technique-technique,,1,technique<--->technique
T1134,T1560,Undirected,3111,technique-technique,,1,technique<--->technique
T1134,T1560.003,Undirected,3112,technique-technique,,1,technique<--->technique
T1134,T1119,Undirected,3113,technique-technique,,1,technique<--->technique
T1134,T1547.001,Undirected,3114,technique-technique,,1,technique<--->technique
T1134,T1110.002,Undirected,3115,technique-technique,,1,technique<--->technique
T1134,T1059,Undirected,3116,technique-technique,,1,technique<--->technique
T1134,T1059.007,Undirected,3117,technique-technique,,1,technique<--->technique
T1134,T1059.001,Undirected,3118,technique-technique,,2,technique<--->technique
T1134,T1059.003,Undirected,3119,technique-technique,,2,technique<--->technique
T1134,T1543.003,Undirected,3120,technique-technique,,1,technique<--->technique
